-0.004828+0.0014722i,-0.003511+0.0026195i,-0.0016465+0.0031271i,0.00030541+0.0022554i,-0.00032982+0.0017118i,-0.0013444+0.0012416i,-0.00068716+0.00038307i,3.3073e-05+0.00049403i,0.00087517+0.0016033i,0.001705+0.0013388i,0.0022511+0.00016757i,0.0013314-0.00057649i,-0.00016519-0.0013966i,-0.00058112-0.0010495i,-0.00022758-0.00040158i,-0.00010231-0.00030494i,-3.4666e-05+0.00017271i,2.3736e-05-0.00069737i,0.00034971-0.0010732i,-1.7114e-05-5.3948e-05i,-0.00018475+0.00071503i,0.00048849+0.00071374i,0.00078063+0.00063494i
-0.00010937-0.002574i,-0.00017222-0.0025695i,-0.0010668-0.0029674i,-0.0026917-0.001862i,-0.0028163-0.0004772i,-0.0017082+0.00043528i,-8.5248e-05+0.000111i,0.00092687-0.00039353i,0.00013914+0.00024132i,-0.0005265+0.0009037i,-0.00029306+0.0012329i,0.00015265+0.0014887i,0.00034742+0.00057953i,0.00089428-0.00015228i,0.001078+0.00064422i,0.0012102+0.00063431i,0.00066922-0.00018221i,-4.5146e-05-0.0005879i,0.00053477-0.00035313i,0.000359-6.7167e-05i,0.00021891-0.00012257i,0.00066582+0.00014806i,0.00077352-0.00024461i
-0.00023421+0.00030714i,3.9112e-05+0.00051859i,0.0013253+0.00059574i,0.001303+0.00065558i,0.00046695-0.00016656i,0.0003176-0.0014584i,0.00027838-0.0012315i,-8.3288e-05-0.00042719i,0.00049649+0.00054884i,0.00086805+0.00042596i,0.00029858-0.00012001i,0.00054619+0.00024061i,9.5429e-05+0.00053073i,-0.00037814+0.00081173i,1.3208e-05+0.00092349i,0.00072685+0.00015157i,0.0011862-0.00069922i,0.00093263-0.00044192i,0.00033928+0.00031272i,0.00016397-0.00011944i,0.00022938-0.00055092i,-3.1456e-05-2.6718e-05i,0.00023106-7.4929e-05i
0.0016877+0.00090198i,0.0024551+0.0011529i,0.00356+0.0013866i,0.0025545+6.8816e-05i,0.00091603-0.0017651i,-3.0901e-05-0.0024715i,0.0002036-0.0021502i,0.00012208-0.0013662i,-0.00021692-0.00054071i,0.00067384+0.00023444i,0.0011781+0.00087635i,0.00033962+0.0012047i,-0.00038093+0.00040529i,-0.00037054-0.00044341i,-0.00039834+0.00020688i,-0.00063856+0.00088021i,-0.00013434+0.00035859i,-7.6788e-05-0.00040874i,-0.00050401-0.00042108i,-0.0002751+0.00012485i,-0.0001526+0.00023753i,-0.00047975+0.00084774i,-0.00041471+0.00081458i
0.00028239+0.0032748i,0.00036502+0.0025679i,0.0006981+0.0024867i,0.0014027+0.0010213i,0.00083956-0.00092196i,0.00014175-0.0010972i,0.00012585-0.00013221i,-0.00060127+0.0010483i,-0.00026332+0.0015885i,0.00062696+0.0013633i,0.00041074+0.0012605i,-0.00036067+0.00024563i,-0.00071315-0.00021981i,-0.00084458+0.00019722i,-0.0010054+0.00029605i,-0.0010756+0.00026778i,-0.001513+9.2229e-05i,-0.0012023+0.00012814i,-0.0001727+0.00070048i,-0.00019909+0.00069083i,0.00018284-0.00013336i,0.0003724-0.00062904i,0.00010806-0.00064437i
-0.0009085+0.00034403i,-0.00072917+0.00019454i,-0.00022068-0.00027043i,0.00021351-0.0011412i,-0.0001128-0.0021208i,5.8324e-05-0.0018937i,0.00034665-0.0010614i,-0.00015065-7.0511e-05i,-3.0435e-05+0.00099397i,0.00058641+0.00091957i,0.00077173+9.7937e-05i,0.00028221+3.0007e-05i,0.00028739+0.0010095i,0.00032719+0.0012158i,0.00024623+0.000843i,0.00042216+0.00065579i,-0.00053911+0.00011151i,-0.0013887-0.00019365i,-0.00078476+5.0688e-05i,-0.00032536+0.00041036i,0.00043017+0.00040573i,0.00075332-0.00038869i,0.00062348-0.00054939i
0.0013623+0.00027524i,0.00079396+0.00074856i,0.0018421+0.0013093i,0.001781+0.0003957i,0.00035165-0.00051333i,-0.00047469-0.00069672i,0.00011911-6.0243e-05i,-4.9978e-05+0.00093692i,-0.00034288+0.0010928i,0.00034882+0.0018256i,0.000783+0.0016963i,0.00080154+0.00024587i,0.00059325+9.6945e-06i,0.00054677+0.00086683i,0.00023535+0.00076405i,-0.00023727+0.00081942i,-0.00043847+0.00064799i,-0.00024387+0.0001885i,0.00012049-7.6118e-05i,0.0002948-0.0001028i,0.0002974-0.00029368i,0.00043152-0.00063244i,0.00093032-2.7357e-05i
0.0011396+0.002032i,0.0030516+0.0022778i,0.003753+0.0014322i,0.0035732-0.00014068i,0.0025489-0.0015573i,0.001497-0.0024784i,0.00057603-0.0017043i,0.0002106-0.00032713i,0.00059006+0.00086542i,4.3041e-05+0.00083089i,-0.0001798-0.00012912i,0.00023507-0.00087624i,0.00029121-0.0010011i,0.0009716-0.000245i,0.00063673+0.00055963i,9.2901e-05+0.00093197i,-0.00076272+0.00046337i,-0.0014333-0.0001307i,-0.00072123-0.00013819i,-0.00030875+0.00036381i,-0.00033633+0.00050359i,-0.00060466+0.00040883i,-0.00038149+0.00038614i
0.00057615+0.00098581i,0.0020307+0.0011389i,0.0027578+0.0013593i,0.0029741+0.00093364i,0.0027838-0.00035614i,0.0013568-0.0013075i,-0.00018737-0.0013371i,-0.001168-0.00046173i,-0.00060297+0.0012396i,0.00014868+0.0014467i,0.00015584+0.00080626i,-1.7597e-05+0.00083448i,-0.00067513+0.00077942i,-0.001298+0.00032932i,-0.00091806-0.00011974i,-0.00054525-0.00050668i,-0.00042074-0.00079963i,0.00028347-0.0005663i,-0.0002966-0.00016019i,-0.0011312+3.5575e-05i,-0.00027379-0.00025679i,0.00032328-0.00024769i,9.3323e-06+0.00015378i
-4.5568e-05-0.00017468i,0.0011381+0.00043121i,0.0025626+0.00077859i,0.0027601-0.00060688i,0.0015465-0.0017605i,0.00076735-0.0013323i,0.00069082-0.00034444i,8.243e-06+0.00065219i,-0.00057896+0.00088357i,-0.00020775+0.0007221i,0.00074578+0.00065632i,0.0016309+0.00077434i,0.0016112+0.0010807i,0.0004965+0.00066652i,-8.3003e-05+0.00040156i,0.00040554+0.00052659i,0.00017651+0.00036406i,-0.0003132-6.8488e-05i,-0.00020386+9.5406e-05i,-0.00036557+0.00036493i,-6.3692e-05+0.000301i,0.00035542-0.00040368i,0.00092694-0.00082947i
-0.00034864+0.0016955i,0.0011372+0.0011341i,0.0015389+0.0013515i,0.0015027+0.00041437i,0.0019662-0.00066199i,0.0018691-0.00083571i,0.0017194-0.0008899i,0.0014827-0.00020381i,0.00092096+0.00070779i,0.00083468+0.0014742i,0.0008896+0.0008947i,0.00097926+3.0301e-05i,0.00091141-4.8526e-05i,-4.3052e-06-0.00040624i,-0.00070897+5.5625e-05i,-0.001204+0.00064699i,-0.0010736+0.00072798i,-0.0001095-5.7468e-05i,0.00081336+0.00011377i,0.00046889+0.0013371i,0.00083582+0.0014197i,0.0015925+0.00055923i,0.0011574+0.00028566i
-0.0010351-0.0011108i,-0.00088834+0.00066014i,-0.0002575+0.0015142i,-0.00032157+0.00083635i,-0.00084435+0.00016618i,-0.00068588-9.6192e-05i,0.00015677+0.00010452i,0.00075432-0.00019319i,0.0010237+0.00064057i,0.0010171+0.0014085i,0.00074303+0.00088455i,0.0003582+0.0001131i,0.00067525+0.00049067i,0.0010658+0.0009435i,0.00045109+4.07e-05i,-0.00052614-0.00033029i,-0.00079266-0.00049819i,-0.00025507-0.00067115i,0.00017018-0.00012729i,0.00043685+0.00072437i,3.2408e-05+0.00029274i,-0.00016865-0.0005292i,2.0139e-05-0.00096389i
-0.00085436+0.0021564i,-0.00041023+0.0024811i,0.00072731+0.002222i,0.0011697+0.00032357i,0.00069019-0.00054225i,-0.00047111-0.00015754i,-0.00059815+0.00036753i,-0.00027725+0.00069641i,0.0001833+0.0004632i,0.00074525-6.6193e-06i,0.0012647-0.00013161i,0.00085112+0.00035416i,-0.00064505+0.0012831i,-0.0010063+0.0011515i,1.6744e-05+0.00069146i,0.00051614+0.00079971i,0.00055143+0.0010264i,0.00079577+0.00138i,0.00072227+0.001298i,0.00045217+0.00094125i,0.00048714+0.00081242i,0.00066259+0.00061417i,0.00058757-4.0514e-05i
-0.00018875+0.00069974i,0.00011845+0.0011012i,0.0015212+0.00056834i,0.0014941-0.00040826i,0.00023951-0.00077849i,-2.3956e-05-0.00093154i,0.00039594-0.00075338i,0.00037438-0.00021699i,0.00098514+0.00083961i,0.00089899+0.00072334i,0.00063082-0.00036057i,7.8533e-05-0.00035025i,8.7159e-05+0.00043233i,0.00058841+0.00088675i,0.00021628+0.00098877i,-0.00062972+0.000744i,-0.00053998+0.00038312i,-2.3836e-05-0.00028228i,-7.4358e-05+3.4719e-06i,0.00014857+0.00076923i,0.00039098-9.3013e-05i,0.00067736-0.00095563i,0.00057306-0.00040433i
0.00094869-0.0014424i,0.00019041-0.00090881i,0.00076259-0.00057997i,0.00096262-0.00064092i,-0.000225-0.0012289i,-0.0007277-0.0013044i,-8.4067e-05-0.0014818i,0.00058648-0.0011026i,0.00074316+0.00011352i,0.00027856+0.00052863i,0.00013858+0.00068471i,0.00065088+0.0011933i,0.0011412+0.0012798i,0.00087686+0.00054633i,0.00022168-5.3564e-06i,-0.00011706+0.00032077i,-0.00035657+0.00010984i,-0.00041899-0.00025226i,-0.00075617-0.00045028i,-0.00013365-0.00081512i,0.00049844+0.00014843i,0.00061342+0.0010154i,0.00051285+0.00083568i
-0.0012019-0.0005553i,-0.0011745+0.00037027i,-0.0018323+0.0011856i,-0.0019669+0.00050654i,-0.0010264-8.1463e-05i,-0.00022428-0.00023523i,0.00048725-0.0004308i,0.00040165+0.00030704i,7.7371e-05+0.00091663i,0.00033242+0.00061779i,3.0429e-05+0.00050463i,0.00033+6.1762e-05i,0.0007046+6.8069e-05i,0.0004762-3.7854e-05i,0.00018189-0.00011908i,-0.00033455+0.00017391i,-0.00059019+7.8655e-05i,-0.00013064+0.00060096i,0.00028659+0.001092i,-0.00015375+0.00094028i,3.1911e-05+0.00083943i,0.00048137+0.00053753i,0.00079028+0.00029886i
0.00094959-0.0022022i,6.0578e-05-0.0001992i,-0.0013053+7.3624e-05i,-0.0017197-0.0013754i,-0.0015224-0.0018791i,-0.00066628-0.0018325i,3.0772e-06-0.0014743i,0.00014882-2.8172e-05i,0.0003419+0.00048034i,0.00042013+0.00047279i,-0.00040636+0.0012253i,-0.00093691+0.00045939i,-0.0004622-0.00043792i,9.8227e-05-0.0001502i,0.00014186+6.126e-05i,-5.9543e-05+0.0004035i,-0.00015161+0.00039059i,-0.00025345+0.00026845i,-0.00080621+0.00057859i,-0.00059292+1.8621e-05i,0.00023719-0.00063321i,-0.00014016-0.00041364i,-0.00069168+0.00011063i
-0.00083646+0.00072268i,0.00056119+0.00071907i,0.0014344+0.0002683i,0.0013714-3.4881e-05i,0.0010591-0.00097858i,0.00048784-0.0015846i,-9.9293e-05-0.00074661i,0.00017533+0.00024698i,0.00024251+0.00089151i,4.6316e-05+0.0010645i,0.00042139+0.00068242i,-0.0002603-0.00011385i,-0.00080142-4.4716e-05i,-0.00013563-0.00022131i,-9.8967e-05-0.00053424i,-2.4918e-05-0.00068744i,-3.2417e-05-0.00078762i,5.8194e-05-0.00064013i,0.00060402+0.0004156i,0.0008413+0.0011058i,0.0010986+0.00031147i,0.0010016+0.00033412i,6.0201e-05+0.00048308i
0.0023827-0.001305i,0.00084298-0.002533i,-7.9142e-06-0.0027232i,0.00016074-0.0024523i,-0.00025138-0.0023597i,-0.00075434-0.00073461i,-0.00030287-0.00022037i,3.7372e-05-0.00032565i,1.6974e-05+2.7017e-05i,0.00042856+0.00045636i,0.00064227+0.00035274i,0.00090827-0.000477i,0.00084276-0.00062821i,0.00069347+0.00016488i,0.00025424+0.0007039i,-0.00072464+0.00033487i,-0.00096052-0.00017354i,-0.00023884-0.00010894i,0.00074701-0.00015981i,0.00073622-0.00023115i,-0.00017316+0.00029764i,-0.00050009+0.00039662i,6.2726e-05+0.00030879i
-0.00069147-0.00075862i,-0.00080195+2.2087e-05i,-0.00039017+0.00017274i,0.00010608-0.00030353i,-0.0001139-0.00038392i,-0.00087093-0.00044827i,-0.0010769-0.00067549i,-0.0005505-0.00056715i,-0.0001179+0.0003438i,8.1521e-05+0.0011015i,0.00064075+0.001272i,0.0014068+0.00060675i,0.0015292-0.00018569i,0.00054212+0.00018143i,-0.0010181+0.00044363i,-0.0011841+2.4134e-05i,-0.00079496-0.00016965i,-0.00018844-0.0001332i,0.00015891+0.00027949i,-0.00012821+0.00012349i,-0.00019857+5.093e-05i,-0.00011459+0.00028418i,3.4849e-05+0.00018393i
0.00037642+1.1042e-05i,-0.00046171+2.6752e-05i,-0.001573+0.00020174i,-0.0014715-0.00033213i,-0.00057299-0.00076854i,-5.7525e-05-0.00033065i,0.00078128+7.0443e-05i,0.00076856+0.00073799i,0.00036747+0.00090397i,0.00023858+0.00068459i,-2.0144e-05+0.0009132i,-8.1725e-05+0.0006769i,0.00016599+0.00047509i,1.7613e-05+0.00053658i,2.1363e-05-2.6652e-05i,0.00025177-0.00045827i,0.00038497-0.00014258i,0.00084488-0.00043585i,0.00072171-0.00024498i,-0.0002036+0.00039626i,-0.00052073+0.00041104i,-0.00076002-0.00017847i,-0.00062896-0.00073572i
-1.7796e-05-0.0012134i,-0.00031648-0.00067187i,0.00058921-0.0010671i,0.00023935-0.0012185i,-0.0004594-0.0014995i,-0.00090725-0.0014998i,-0.0010854-0.0012754i,-0.00067362-0.00086308i,0.00039358-0.00058099i,0.00048011+7.0415e-05i,7.9834e-05+0.00098332i,8.6746e-05+0.00098408i,-0.00019104+0.0006417i,0.00025576-0.00014265i,0.00033128-0.00010585i,-0.000221+0.00025071i,-0.00092222+0.00020849i,-0.00082823-9.1809e-05i,-0.00016524+0.00052118i,-4.3754e-05+0.0017437i,0.00053373+0.0015318i,0.00076004+0.00064158i,0.00028507+0.000166i
0.00015201+0.00030937i,9.1663e-05+0.00020332i,0.0016349-0.00091655i,0.0017769-0.0017355i,0.00040259-0.001398i,3.182e-05-0.0012579i,0.00049307-0.0010075i,0.00069933-0.00019362i,0.00059324+0.00011187i,0.00032875+0.00037286i,0.00018975+0.00055401i,-2.5247e-05-3.7297e-05i,-0.00058375-0.00042747i,-0.00066994-0.00073216i,6.8067e-05-0.0007337i,0.00042064-0.00030748i,-0.00038999+3.4603e-06i,-0.00066257+7.3743e-05i,-0.00017997-0.00019272i,0.00012705+0.00042026i,0.0010707+0.00086745i,0.0014065+0.00074442i,0.00048301-0.00012013i
0.0014597-0.0020117i,-0.00054631-0.0022651i,-0.0015219-0.0031033i,-0.00063933-0.0028603i,-0.00077104-0.0022704i,-0.0013425-0.0020023i,-0.00097317-0.00097806i,-0.00079876+3.5979e-05i,-0.00055058-0.00017903i,0.00025271+0.00015353i,0.00053825+0.00030685i,0.0002558-0.00020244i,0.00023274+0.00059699i,0.00054161+0.00074406i,0.00028465+0.00055089i,-0.00014875+0.00019623i,-0.0001463-0.00074899i,-0.00015303-0.00075615i,-0.00028027+0.00015378i,-0.00029241+0.00040204i,-0.00031157+0.00042445i,-0.00089219+0.00085959i,-0.0011534+0.00074095i
-0.00018962+0.00012867i,0.00071527+0.0014719i,0.0016133+0.0020963i,0.0011497+0.0016032i,-0.00029365+0.00029149i,-7.5989e-05+5.4981e-05i,0.0004067+0.00041559i,0.000317+0.00074548i,0.00034058+0.0011662i,0.00041997+0.0009086i,0.00063254+0.0001571i,0.00059228-0.00064075i,0.00056616-0.0010726i,0.00096579-8.4112e-05i,0.00085705+0.00054717i,6.6031e-05+0.00047919i,-0.00071618+0.00068044i,-0.00053495+0.00083949i,-0.0005421+0.0011241i,-0.0012104+0.0010101i,-0.0013547+0.00080127i,-0.00050297+0.00021111i,0.00061593-0.00037297i
8.0518e-05+0.00098956i,0.00016023+0.00028387i,0.00079976-0.00038231i,0.0002896-0.0011216i,-0.00042517-0.00064153i,-0.00029548-7.9769e-06i,3.2764e-05-0.0010767i,7.5608e-05-0.00068982i,0.00014383+0.00012124i,9.1106e-05+0.00047036i,-0.00017666+0.00067304i,-7.9339e-05+0.00071043i,-0.00018423+0.0010258i,-0.00023434+0.00046466i,-0.00033232+5.3874e-05i,-0.00032805+0.00028921i,-0.0005388+0.00030409i,-0.00074701-0.00011532i,-0.00027003-0.00069824i,0.00038892-0.00026592i,0.0001365+0.00032074i,-0.0007876+0.0003133i,-0.00047142-0.00014028i
0.001838+0.00054505i,0.0023474+0.00067382i,0.0021468-6.1504e-05i,0.0010831-0.0013716i,0.00088989-0.001998i,0.00033789-0.0019265i,-0.0004498-0.0018741i,-7.1869e-05-0.0011256i,-0.00031835+1.746e-05i,-0.0002309+0.00065045i,-0.00021616+0.00070259i,-0.00076703+0.0006695i,-0.00019678+0.00058484i,0.00068844+4.2239e-05i,0.0006735-0.00015954i,-3.1174e-05-9.3387e-05i,-0.00050473-7.6303e-05i,-0.00023125+0.00038736i,-6.3381e-05+0.00071793i,-5.9617e-05+0.0006616i,-0.00042359+0.000334i,-9.0916e-06+0.00033784i,0.00077587+0.00080347i
0.00050355+0.00031032i,0.00044015-0.00021285i,0.00068173-0.0013361i,0.0010066-0.0027639i,0.00088382-0.0026078i,0.00018315-0.0013449i,-0.00015194-0.00021274i,0.00034233+0.00041908i,0.001018+0.00071065i,0.0013814+0.0011142i,0.00045646+0.00088947i,-0.00013011+5.1728e-06i,0.00034334-0.00040279i,0.00022805-0.00073791i,-0.00041779-0.00086631i,-0.00037994-0.00061964i,6.1287e-05-0.00067051i,-0.00019961+0.00018171i,-0.00041371+0.00054552i,-8.8849e-05+0.00021794i,0.00043514+0.00014286i,0.00062929-4.9737e-05i,0.00042151+7.0857e-05i
-0.00053703+0.0011919i,-0.00034881+0.0015088i,0.00036836+0.00050543i,0.00024061-3.9679e-05i,7.9577e-05-0.0005348i,-0.00035573-0.0015685i,-0.00099264-0.0015624i,-0.00074373-0.00038508i,-0.00047981-0.0002817i,-0.00022722-5.51e-05i,-8.4013e-05+0.00099105i,-0.00049181+0.0009683i,-0.00073375+0.00058908i,-0.00059407+0.00056952i,-0.00066998+0.00017453i,-0.00020844-9.0439e-05i,4.2633e-05+1.1426e-06i,-2.516e-05+0.00019282i,-1.6494e-05+5.9766e-05i,-0.00038524+0.00033799i,-2.2971e-05+0.00058284i,0.00088195+0.00019222i,0.00081781+0.00015694i
-2.2503e-05-0.0011861i,0.0001305-0.00035546i,0.0013816-0.00025968i,0.0014249-6.6689e-05i,0.00012275+3.4993e-05i,-0.00095153-0.00060481i,-0.00091899-0.00022322i,-8.6628e-05+0.00090704i,0.00018488+0.0015182i,2.1764e-05+0.0014305i,-0.00049557+0.00093141i,-0.00058869+0.00076408i,-8.4781e-05+0.00073602i,2.7368e-05+0.00025452i,-0.00016539-0.00041213i,-0.00026942-0.00014626i,-0.0003283+0.00088212i,-0.00060648+0.0013047i,-0.00014755+0.00072802i,-0.00035454+0.00047613i,-0.00074345+3.3384e-05i,-0.00020166-0.00026925i,-0.00014072-0.00017739i
0.00031504-5.0089e-05i,0.00095427+0.00083595i,0.0012892+0.00087399i,0.0012923-0.00050409i,0.0014038-0.0015664i,0.0013644-0.0012772i,0.00096101-0.00071487i,-0.00026212-0.00050223i,-0.00069398-0.00010427i,0.0002586+0.0001262i,0.00034622+0.00059049i,-8.237e-05+0.00096988i,0.00057685+0.00088728i,0.001126+0.00073389i,0.00080637+0.00048392i,4.8286e-05+0.00045697i,7.0607e-05-0.00034238i,0.00020246-0.00066907i,-0.00018766-0.00039843i,-0.00026833-0.00031531i,7.1076e-05+0.00046937i,0.00024073+0.0010231i,0.00021859+0.0009264i
-0.00022718+0.00022381i,0.00029684-0.00070092i,0.0015391-0.00093206i,0.0009769-0.00062665i,-0.00054872-0.0012627i,-0.0012499-0.00097809i,-0.0011638+7.938e-05i,-0.001022+0.00027306i,-0.00072536+0.00049428i,0.00036007+0.00090883i,0.00067652+0.0014579i,0.00038746+0.00143i,0.00035952+0.00083937i,-0.00021512+0.0011829i,-0.00025193+0.0013056i,-0.00059539+0.00060915i,-0.0011284-0.00013388i,-0.00059251-0.00030972i,-0.00013352-7.2829e-05i,0.00030723+0.00031128i,0.00022544+0.00087592i,-0.00043541+0.0008639i,-0.00062512+0.00045536i
-0.0018272+0.00062072i,-0.0021494+0.0013667i,-0.0023953+0.0017462i,-0.0022596+0.0010508i,-0.0012038+0.0006016i,-5.0908e-05-0.00054878i,0.00048886-0.0010725i,0.00033746+0.00012389i,0.00025888+0.00093493i,6.3555e-05+0.00099118i,-0.00015307+0.00054114i,-0.00025058-0.00012741i,-0.00025185-0.00036595i,-0.00025734-0.00015841i,-0.00032174-0.00044674i,-0.00012827-0.0012748i,0.0001661-0.0013339i,0.00027174-0.00081704i,-7.223e-05-0.00047004i,-0.00046658-0.00012264i,7.2171e-05-0.00026999i,0.00049715-0.00047823i,6.9158e-05-0.00010731i
