-0.0055718-0.00054364i,-0.0056725-0.0019401i,-0.0065381+0.00047583i,-0.0055885+0.0027788i,-0.003169+0.0026875i,-0.0011257+0.0024326i,-0.00038089+0.0029669i,0.00044036+0.0026583i,0.00055471+0.002106i,0.00046723+0.0017743i,-0.00014954+0.0012138i,-0.0011365+0.00081279i,-0.00059743+0.00013255i,-0.00019018-0.001368i,0.00013702-0.0015102i,-0.00026242-6.666e-05i,-0.00065568+0.00095337i,-1.984e-05+0.00056963i,0.00078697-0.00031705i,0.00086603-0.00026643i,0.00065544+0.00017555i,0.00047573-0.0005993i,-1.8922e-05-0.0009669i
0.00027309+0.00087058i,-0.00050104+0.00050345i,-0.00047238+0.00026974i,-0.0013062+0.0013151i,-0.001878+0.0030466i,-0.0011619+0.0034925i,-0.0001405+0.0020292i,0.00056993+0.00052528i,6.2023e-05+0.00032405i,0.00015132+0.0005056i,0.00043311+0.00026654i,-0.00022585-7.1212e-05i,-0.00028968-0.00011778i,-0.00010202-0.00010137i,0.00012854-8.6712e-05i,-0.0001037-0.00016009i,-0.00042016-0.00012818i,-0.00022223-0.00014672i,0.00024602+3.8144e-05i,0.00042635+0.0004881i,0.00044355+0.0004016i,0.00038011-9.1413e-05i,0.00019057-0.00027952i
-0.00077381+0.0017135i,-0.0012171+0.0010896i,-0.00057147-5.9739e-05i,0.00015412+0.0009073i,0.00049297+0.0022508i,-2.9344e-05+0.0022201i,-0.00011611+0.0020294i,-2.5412e-05+0.0013728i,0.00044202+0.0010146i,0.0014706+0.00078983i,0.00085277+7.9303e-05i,-0.00032372-0.00014218i,-0.00010767+0.00052719i,8.6896e-05+0.00064607i,-0.00026579+0.00066453i,0.00014199+0.00061673i,0.00019741+0.0011791i,-0.00025754+0.0012187i,0.00015172+4.1558e-05i,0.00098251-0.00069895i,0.00080449-0.0011796i,-0.00019526-0.0010937i,-0.00038381-0.00052772i
-0.0014049+0.0011811i,-0.0014692+0.0012559i,-0.0020365+0.0027612i,-0.00082273+0.0042284i,0.00061342+0.0029614i,0.00073245+0.0004087i,0.0004447-0.00070641i,0.00021604+0.00013422i,0.00017559+0.0012309i,2.3272e-05+0.00089543i,-0.00060275+0.0006057i,-0.00079272+6.4419e-05i,-4.284e-05-0.00038563i,0.00064726+0.00050765i,0.0005776+0.00089063i,-0.00015304+0.00039072i,-0.00055821+0.00027676i,-9.4944e-06+0.00051i,-4.3468e-05+0.00048519i,-0.0010947+4.1768e-05i,-0.0011195-5.0841e-05i,-0.00055519-0.00030548i,-2.5292e-05-0.00074014i
-0.0011783+0.00078802i,-0.00048719+0.00024329i,-0.00015593+9.6934e-05i,7.5245e-05+0.00039381i,0.00014396+0.00082945i,0.00051208+0.0012393i,-0.00015673+0.0015576i,-0.00035011+0.0009461i,0.0005185+0.00071909i,0.00012593+0.0012377i,0.00036272+0.00071807i,0.0013957+0.000283i,0.00087116-1.3656e-05i,0.00013599-0.00017037i,-0.00048907+7.8401e-05i,-0.0003716-0.00018029i,7.5457e-05+7.1041e-05i,0.00033805+0.00071141i,0.00016298+0.00038022i,-0.00075305+2.4818e-05i,-0.00068268+0.00075544i,-0.00016553+0.0007684i,0.00018964+0.00020067i
0.00051934+0.00040911i,-0.00086186+0.00040206i,-0.0011857-0.00025492i,-0.0020061-0.0011412i,-0.0036358-9.7713e-05i,-0.004067+0.0013499i,-0.0021201+0.00070238i,-0.00029763+9.243e-05i,0.00026813+0.00068486i,0.00040019+0.00072611i,5.1282e-05+0.00046849i,-0.00038002+0.00062839i,-0.00034583+0.00066543i,-0.0003197+0.00052123i,0.00012234+0.00053761i,0.00045515+0.0004248i,0.00020023+0.00050165i,-0.00010647+0.001031i,0.00020512+0.00099837i,0.00060046+0.00086018i,0.00092098+0.00011691i,0.00089763-0.0010728i,0.00095498-0.00078686i
0.00096889+0.00058658i,0.00030036+0.00024716i,-0.00035379-0.00082937i,-0.0022514-4.5559e-05i,-0.002726+0.0023081i,-0.0023457+0.0041451i,-0.0010338+0.0041305i,-9.1089e-05+0.0025643i,0.00010155+0.0015189i,0.00063629+0.00047208i,0.00068076-0.00027579i,-2.861e-05-7.0075e-06i,0.00029425+9.3569e-05i,0.00071804+0.00067892i,0.00044052+0.00050304i,0.00043095-0.00061754i,0.00059315-0.00048491i,0.00096023-0.00014412i,0.00052128-0.00036431i,-0.00023425-0.00035412i,-0.00055087-0.00065621i,-0.00038506-0.00073958i,-0.00095659+7.0702e-05i
0.00048832+0.0019633i,0.0019516+0.0027551i,0.0025172+0.0025746i,0.00070244+0.0029069i,0.00012295+0.0042287i,0.0011604+0.0033532i,0.00096057+0.0012933i,0.00032971+0.00013548i,-0.00035776-0.00052854i,0.00031879-0.00010386i,0.00047265+0.00028477i,-0.00025291+5.0287e-05i,-0.00016983-8.3475e-05i,-0.00020597-0.00029055i,-0.00050274-0.00059568i,6.8971e-05-8.8733e-05i,0.0003282+0.00090027i,0.0001261+0.00011601i,4.8964e-05-0.0001521i,7.7604e-05+0.00052877i,-0.00032905+0.00024411i,-0.00037179+0.00047763i,0.00037266+0.0010736i
0.00072683-0.00026194i,0.00061937-0.00063445i,0.0011143-0.0020897i,0.0012612-0.0013621i,0.00124-5.6431e-05i,0.00075291-0.000614i,0.0010564-0.00098228i,0.0013792-0.00034434i,0.00069235+0.00033843i,0.00042368+0.00014412i,0.00048665+0.00013708i,-0.0001276+0.00078897i,-0.0001454+0.00079523i,0.00015344+0.00057616i,-0.00033836+0.00045036i,-0.00061833+0.00016245i,4.13e-05-9.5656e-05i,0.00067423+2.3926e-05i,0.00047743+4.0472e-05i,-0.00025718-0.00072632i,-0.00090148-0.00085778i,-0.00041494-0.00066434i,-4.1229e-05-0.00045086i
0.0021002-0.00098613i,0.0021576-0.0012466i,0.00091699-0.0019818i,-0.0009345-0.0031299i,-0.0020977-0.0029578i,-0.0025153-0.0010085i,-0.0014077+0.00056979i,-0.0005051+0.001111i,-0.00018627+0.00071741i,0.00034258+0.0001482i,0.0013715+0.00018809i,0.0018815+0.0011942i,0.0013984+0.0012238i,0.00042318+0.00057443i,-6.3585e-05+0.00080121i,0.00018544+0.00071805i,-0.00012485+0.00032009i,-0.00043601+0.00040453i,-0.00056661+0.0001504i,-0.00066157+0.00028509i,-0.00091364-0.00012262i,-0.00044541-0.00037447i,9.9375e-05-0.00080823i
-0.0014326+0.0015258i,-0.0013337+0.0010836i,-0.00071962+0.001321i,-0.0012385+0.00035037i,-0.0025745-0.0002508i,-0.0035657+0.00056912i,-0.0026433+0.001606i,-0.0010635+0.0013783i,3.1654e-05+0.00080526i,5.7578e-05+0.00045996i,-2.3464e-05-0.00024174i,0.00037843-0.0006587i,0.00015751-0.00079226i,-0.00032377-0.00042502i,-0.00062086+0.00024327i,-0.00081873+0.00061107i,-0.0004022+0.00094689i,-0.00054602+0.00059046i,-0.00029426+0.00019633i,0.00014507-5.2772e-05i,0.00019184+5.7686e-05i,0.00022697-4.7492e-06i,-0.00021655-0.0002522i
-4.7228e-05-0.0012144i,0.00063838-0.0011532i,-0.00022288-0.00084255i,-0.0026309+0.00017627i,-0.0043467+0.0017655i,-0.0035851+0.0037837i,-0.001269+0.0033679i,-0.00031201+0.0015675i,-6.3276e-05+0.0011758i,0.00073378+0.00079869i,0.00086592+0.00044775i,0.00028938+0.00018303i,-0.0001839-0.00050681i,-0.00036707-0.00038551i,-0.00064833-0.0003878i,-0.00038054-0.00055436i,-0.00016913-0.00032299i,-0.00039828-0.00012197i,-0.00087094-0.00014552i,-0.00087669-0.0003098i,-0.00024196+0.00019984i,-0.00016426+0.00046639i,-0.0001042+0.00043619i
0.0013712-0.00021735i,0.0010919-0.00061363i,0.00023146-0.00075336i,-0.00062959+0.00085735i,-0.00075984+0.0027862i,-1.5289e-06+0.0034179i,0.00079866+0.0024258i,-0.00024712+0.00077i,-0.00096383+0.00048607i,2.4104e-05-0.00014221i,0.0001795-0.00083078i,-0.00085865-0.00057198i,-0.0010469+0.00030346i,-0.00085203+0.0010825i,-0.0005711+0.00020212i,0.00014379-0.00069806i,0.00025355-0.00096963i,0.00029289-0.00043864i,0.00033511+0.00079735i,-2.0799e-05+0.00029498i,-0.00010677-0.00012516i,0.00018055-5.4767e-05i,0.00023674-0.0012174i
0.0010357+0.00037519i,0.00022069+0.00020908i,-0.00018447+0.00027932i,0.001087+0.0010487i,0.0023152+0.0018589i,0.0019904+0.00099125i,0.0015184-0.00015518i,0.0014081+0.00036094i,0.00080314+0.0013896i,3.1013e-05+0.0010043i,-0.00045085+6.0102e-06i,-2.1242e-05+6.1461e-05i,0.00061235+0.00050071i,0.0001773+0.0010568i,-7.7611e-05+0.0014098i,0.00029836+0.0011161i,0.00046821+0.0003757i,0.00066867+7.8698e-05i,0.00037964-0.000499i,-0.00024186-0.001193i,-0.00058399-0.00093355i,-0.00073657-0.00030829i,-0.00017555-0.00012271i
0.0014364+0.00021701i,0.00073051-7.4376e-05i,0.00021368-0.0012378i,-0.00093358-0.0021689i,-0.0016499-0.0022893i,-0.001795-0.0019344i,-0.00050778-0.0015689i,0.00084961-0.0014661i,0.00043862-0.00037351i,-0.00028604+0.00010194i,-0.0004905-0.00034577i,-0.00017179-0.00039439i,0.00020366+0.00040046i,0.00027428+0.00096222i,0.00015289+0.00033751i,-0.00034271-0.00054237i,-0.0012644-0.00095257i,-0.0019063-0.000325i,-0.0012178-7.7101e-05i,-0.00046607-0.00061455i,-0.00070625-0.00057019i,-0.00041247+0.00019201i,0.00022743+0.00036426i
-0.0017474-0.00011146i,-0.0016949+0.00012832i,-0.0023221+0.00062232i,-0.0021102+0.0011275i,-0.0019986+0.0019506i,-0.0026974+0.0024084i,-0.0022503+0.0015498i,-0.0016508+0.00050958i,-0.0017822+0.00011227i,-0.000866+0.00011225i,0.00076839-0.00015777i,0.00070654+0.00026197i,0.00054986+5.8546e-05i,0.00085223-0.00037654i,0.0008197-0.00018827i,0.00055561+0.00033477i,0.00063985+0.00091818i,-0.0003114+0.00081433i,-0.00033741+0.00042038i,0.00067125+0.00058131i,0.00031119+0.001074i,0.00026458+0.00072672i,0.00067095+0.0001091i
-0.00055147+0.00094927i,-0.00088296+0.00065013i,-0.0020919+0.00023099i,-0.0025439+0.0014721i,-0.0034093+0.0035228i,-0.0021993+0.0046213i,-0.0006084+0.0038173i,-0.00034539+0.0021516i,-0.00029639+0.00033588i,0.00052763-5.1458e-05i,0.0010268-0.0008029i,0.001004-0.001177i,0.0006133-0.00092607i,-0.00010049-0.0010228i,-0.00037414-0.00065935i,-0.00010749-0.00017127i,2.9863e-05+0.00068245i,-0.00075482+0.00083617i,-0.00085567+0.00058103i,-0.00020532+0.00010983i,-0.00010137-0.00047278i,-0.00038579-0.00084125i,-0.00059075-0.0013134i
-0.0015464-0.0019255i,-0.0016579-0.0020905i,-0.0022236-0.00055815i,-0.0019048+0.0029267i,-0.00054243+0.0052055i,0.0010541+0.0045559i,0.001569+0.0023862i,0.00097444+0.00044992i,0.00097819-8.0699e-05i,0.00065814+7.4295e-05i,-0.00033689+0.00035623i,-0.00068099+0.00077093i,-0.00069753+0.00094231i,-0.00058147-0.00025443i,-2.2712e-05-0.00067846i,4.4092e-05-0.00046247i,-0.00026787-0.00069103i,-0.00010292-0.00020098i,0.00035154-0.00020371i,0.00085731-0.0011169i,0.00040988-0.00085853i,-0.00026959-0.00057545i,-0.0005683-1.6393e-05i
0.0003207+0.00081039i,-0.0013935+0.0012189i,-0.001746+0.0019787i,-0.00025848+0.0020626i,0.0017755+0.0026271i,0.0029472+0.0019654i,0.0021245+0.00026665i,0.00075482+3.644e-06i,0.00053375+4.2957e-05i,0.0012773+0.0004964i,0.00073249+0.00072919i,-0.00027699+0.00099059i,-0.00034964+0.0011041i,-0.00059039+0.00019494i,-0.00090481-0.00034973i,-0.00077621-0.00036104i,-0.00042053+0.00012928i,-0.00025487+0.00034393i,-0.00030472+0.00010889i,-0.00087834-0.00018223i,-0.0012322-0.00039704i,-0.00072779-0.00089933i,-0.00026147-0.0011311i
-0.0016586-0.00092621i,-0.0010932-0.0018259i,6.5736e-05-0.0016456i,-0.000333-0.0014969i,-0.00069115-0.0013481i,-0.0014415-0.00085454i,-0.0019496-0.00080182i,-0.00057039-0.00076935i,0.00016721-0.00093884i,-0.00039018-0.00028094i,-0.00043866+0.00035024i,-0.00029835+0.00061522i,7.3621e-06+0.00056703i,0.0010921-0.0001326i,0.00046502-0.00017776i,-0.0010969+1.879e-05i,-0.0011041+0.00010502i,-0.00024623-0.00025767i,0.00032275-0.000756i,0.00022722-0.00050334i,0.00020272-0.00020294i,0.00024764-3.1991e-05i,0.00022031-0.00030855i
0.0017599-0.0012952i,0.0011539-0.0024686i,0.00048159-0.0030361i,-0.0016333-0.0020985i,-0.0036406-0.00055626i,-0.0040393+0.0014253i,-0.0028893+0.0026409i,-0.0015488+0.0018251i,-0.00091577-4.3443e-05i,-0.00018485-0.00080144i,2.7049e-06-2.6433e-05i,-0.00022636+0.00027553i,-0.00020256+0.00035779i,-2.5875e-06+0.00038422i,0.00020726-0.00015835i,-0.00060059-0.00023886i,-0.0010729-0.00027615i,-0.00087123-0.00036217i,0.00023967+0.0001837i,0.0010355+0.00076365i,0.00050594+0.00036802i,-4.8852e-06-0.00023636i,0.00047473-0.00016732i
0.0012345-0.00070927i,0.0004039-0.0010585i,-0.00019587-0.0021641i,-0.0024256-0.0010039i,-0.0033045+0.0023765i,-0.0030436+0.0047765i,-0.0020671+0.004244i,0.00012338+0.0018347i,0.0007562+0.00090141i,1.7733e-05+0.00090988i,-0.00039151+0.00011645i,-0.00051515-0.00012336i,-0.0001413-5.2771e-05i,0.00020496-0.00037029i,-5.1777e-05-0.00053305i,-0.00031287+0.0001987i,-0.00019978+0.00093352i,0.00030132+0.00015287i,0.00036407-0.00055774i,0.00021472-0.00064732i,1.9686e-05-0.00041759i,-0.00030015+8.4374e-05i,0.00036751+2.2652e-05i
-0.0012102+0.00037707i,-0.00075178-0.0006366i,-0.00088277+0.00077474i,-0.00061851+0.0021447i,2.6032e-05+0.0030848i,0.00063599+0.0036634i,0.00086275+0.0027283i,0.0006313+0.001565i,0.00016937+0.0016924i,8.7372e-05+0.0014909i,0.00028559+0.0012079i,-1.8159e-05+0.0014485i,-0.00032291+0.00088335i,-0.00082171+0.0003957i,-0.00071828+0.00047042i,0.00032181+0.00057385i,0.00058046+0.00070652i,-1.3174e-05+0.00029482i,-0.00055131-0.00011006i,0.00013941-0.00024784i,0.00069588-0.00026246i,0.00011603-0.00031041i,-0.00099157-0.00058016i
0.001715+0.0018881i,0.00074536+0.00092524i,0.001768-0.00013282i,0.0013333-0.00018455i,0.00051771+0.00025658i,0.00011083+0.0002959i,-0.00049117+9.6329e-05i,-0.00020729+0.00021613i,0.00016873-0.00023483i,-3.5345e-06-0.0008897i,1.8307e-06-0.00095559i,-0.00037323-0.0003135i,-0.00084633-0.00023285i,-0.00069504-0.00029988i,-0.00023652-0.00063584i,0.00067432-0.00041806i,0.001333+0.00024994i,0.00067814+0.00051155i,-0.00015071+8.6576e-05i,-0.00062501-0.0001344i,-0.00024119-0.00012145i,-3.3669e-05-0.00025934i,-2.2714e-05-7.632e-05i
-0.00030959-3.3128e-05i,0.00076387-0.00045104i,0.0011797-0.0010068i,0.0006829-0.00061981i,0.00029474-0.00050647i,-0.00042805-0.0010885i,-0.0014318-0.00099683i,-0.0015244-0.00072781i,-0.00061716-0.00031896i,6.0312e-05-0.00034853i,-0.00011295-0.00050656i,-4.1145e-05-0.00094013i,-0.00012879-0.0012543i,1.7227e-05-0.0010608i,0.00032114-0.00041922i,0.00052075-0.00019531i,0.00016485+0.00011662i,-0.00047632+0.00019192i,-0.00094464+0.0010572i,-0.0011774+0.0017257i,-0.00081581+0.00086652i,-0.00030824+8.1917e-05i,-6.9552e-05+0.00021276i
-0.00051357-0.00036133i,-0.0010649-0.00051424i,-0.0017389-0.0011046i,-0.0019459-0.00076549i,-0.002744+0.0014274i,-0.0032782+0.0019789i,-0.0023143+0.0012373i,-0.001356+0.0012273i,-0.0011091+0.0013635i,-0.0012765+0.0011863i,-0.00080706+0.0011669i,-0.00013666+0.00071423i,-0.00013446-0.00018207i,-0.0001369+2.8504e-05i,-0.00046507+0.0002619i,-0.00028292+0.00035221i,0.00033421+0.00087631i,0.0003784+0.00070798i,-0.00011545+0.00019726i,0.00024171+8.383e-05i,0.00083023+0.00054196i,0.0010808+0.00076778i,0.00060492+0.00027328i
-0.00086898-0.0032795i,-0.001565-0.003863i,-0.0030808-0.0045138i,-0.0036542-0.0019423i,-0.0030633+0.002647i,-0.0019964+0.0048055i,-0.0010982+0.0045293i,-0.00069853+0.0025523i,-0.00099101+0.00084049i,-0.0013149+0.00058221i,-0.0011745+0.00028047i,-0.00091804+0.00012041i,-0.00060347+0.00027408i,-9.1822e-05+0.00042198i,-0.00026567+0.00090476i,-0.0012873+0.00049176i,-0.00090703-0.00035086i,0.00079613+0.00053017i,0.0010431+0.0011665i,0.00038425+6.1089e-05i,0.00042678-0.00053351i,0.00027541-0.00043473i,-0.00062816-0.00059951i
-1.194e-05-0.001198i,0.00011972-0.0012557i,-0.0010106+0.00029291i,-0.0018776+0.002267i,-0.0013505+0.004094i,4.0111e-05+0.0042055i,0.0014967+0.0029268i,0.0016383+0.0015386i,0.00059815+0.0011132i,0.00015218+0.00093032i,0.00023147+0.00097682i,-0.00028505+0.00081985i,-0.00013291+0.00036951i,0.00027756+0.00035658i,-0.00014324+5.4788e-05i,-0.00019737-0.00020441i,0.00021026+8.8004e-05i,0.00063883+0.00027309i,0.00068759+0.00039417i,-0.00028641+0.00027722i,-0.00083884-0.00014705i,-0.00019857-0.00039335i,1.7998e-05-0.00046767i
5.5826e-05+6.3681e-05i,2.1417e-05+0.00062253i,-0.00045106+0.00099582i,0.0001012+0.0014215i,0.0016862+0.0018491i,0.0020529+0.00088973i,0.0016215-0.00021119i,0.0011341-0.00072205i,0.0018115-0.00042364i,0.0012308+0.00019935i,-0.00047929+0.00035486i,-0.00045964+0.00014659i,4.37e-05+0.0008055i,-2.9547e-05+0.0011221i,0.00027585-0.00025598i,0.00035225-0.00062615i,6.4819e-05-0.00051271i,0.00022656-0.00075223i,0.00038671-0.00047465i,0.00040048+9.3401e-05i,-3.466e-05+0.00028321i,-0.0011063-0.00038597i,-0.00099866+8.7853e-05i
0.0003241-0.0020695i,0.00081052-0.0022188i,0.00080086-0.0013064i,0.00065079-0.00048707i,-0.00028168-0.00065413i,-0.0018813-0.00080635i,-0.0015435-0.0011825i,-0.00017965-0.0012746i,-8.2906e-05-0.00049544i,-0.00038859+0.00041405i,-0.0009618-4.3649e-05i,-0.0010857-0.0012358i,-0.00072478-0.0010538i,-0.00045778-0.00010754i,0.00040057-0.0001249i,0.00062452-0.00028067i,-0.00011334+0.00030395i,-0.00083608+0.00053455i,-0.00069869-0.00018762i,-0.00040194-0.00050669i,6.5722e-05-4.0576e-05i,0.00063368+0.00044846i,0.0010756-5.5572e-06i
-0.00016966-0.001659i,-0.0011333-0.0018189i,-0.0026005-0.0022395i,-0.0039122-0.0007558i,-0.0040466-0.00025528i,-0.0035732+0.00047779i,-0.0028441+0.0011643i,-0.0019285+0.00016407i,-0.0013621-0.00063944i,-0.0015478-0.00037016i,-0.001499+0.0002209i,-0.00056505+0.00055501i,-7.4359e-05-0.00039548i,5.2676e-05-0.00078497i,-0.00069433-0.00034963i,-0.00072198-9.507e-06i,-6.4546e-05-0.00036701i,0.00022973-0.0012574i,0.00034338-8.4891e-05i,0.00051232+0.0015295i,0.00035351+0.0014078i,0.00038373+0.00087391i,0.00030959+4.0528e-05i
-0.00054534-0.0015665i,-0.0012188-0.0022587i,-0.0025993-0.0018405i,-0.0033043-0.00092186i,-0.0037082+0.0013235i,-0.0031346+0.0038628i,-0.0018385+0.0038572i,-0.0010328+0.0017947i,-0.001164+0.00048003i,-0.0014749+0.00034357i,-0.0013559-2.2836e-05i,-0.00057492+0.00011951i,-0.00046876+0.00075446i,-0.00062976+0.00078801i,-0.00014272+0.00067599i,-4.4363e-05+0.00092649i,3.0592e-05+0.0011217i,-0.00024711+0.0016304i,-0.00081055+0.0014517i,-0.00029883+0.00062698i,0.00042687-0.00033486i,0.00069286-0.00087588i,0.00085773-6.9677e-05i
