0.0023373+0.0012673i,0.00189-0.00022078i,0.0010092-0.0030112i,-0.00012025-0.0037443i,-0.0018412-0.0024627i,-0.0032377-4.2976e-05i,-0.0016122+0.0020605i,0.00061236+0.0025344i,0.0019665+0.0014896i,0.0018726-0.00093575i,0.00048788-0.0018944i,-0.0012801-0.0012741i,-0.0016058-0.0009268i,-0.00059159-0.00055933i,-0.00059654-0.00064917i,-0.0012433-0.00032475i,-0.00094999+0.00018563i,-7.1141e-05+2.3801e-06i,0.00015945+0.00038928i,-0.00017388+0.0005045i,-4.6222e-05-1.0559e-05i,-0.00028894-0.0005783i,-0.0007965-0.00084001i
-0.0013174+0.00063943i,-0.0014952+0.00016696i,-0.0013481-0.00086864i,-0.00093712-0.00071194i,-0.00052159+0.00013261i,-0.00052533+0.00021559i,-0.00061011+0.00021807i,-0.00038696-0.00045502i,5.283e-05-0.0010243i,-0.00018973-0.0006097i,-0.00056108-0.00036207i,-0.0004377-0.00064261i,-7.547e-05-0.00096254i,0.00033508-0.0007497i,9.7143e-05-0.00036874i,-0.00014114+0.00038059i,-9.4839e-05+0.0010381i,-0.00039495+0.00030842i,-0.00044241-0.00041992i,-0.00018474+0.00027836i,-0.00013698+0.00022361i,3.7353e-05+0.00013353i,0.00063366+0.00061484i
0.0015579-0.0016386i,0.001163-0.00074046i,0.0016078+0.00039789i,0.001251+0.00088702i,0.00078013+0.00066953i,0.0008426+0.00086738i,0.00033318+0.00029629i,-0.00042082-0.00017133i,-8.7542e-05-6.129e-06i,9.9748e-05-0.00021847i,-0.000932-0.00025858i,-0.00087336+0.00052361i,1.524e-05+0.0008777i,0.00049955+0.0012412i,-0.00018301+0.0012342i,-0.0001181+0.00025253i,0.00063727-0.0001573i,0.00053115-9.8931e-05i,-0.00044576-0.00033789i,-0.00087746-0.00015551i,-0.00033309-0.00075588i,0.00047499-0.0011634i,0.0008136-0.0003652i
-0.00040021+0.00034385i,-0.00010937+0.0015307i,0.00029387+0.0018083i,0.00014685+0.0011962i,0.00035212+0.00016153i,0.00026918-0.00026924i,-0.00027823+0.00018452i,6.7357e-05+0.00087025i,0.00066011+0.00057379i,0.00080083-0.00034534i,0.00074587-0.00092689i,-0.00010279-0.00072645i,-0.00093273-4.0973e-05i,-0.0011446-9.1747e-05i,-0.00068522-0.00035139i,-0.00074528+9.1073e-05i,-0.00087381+0.00027587i,-3.7676e-05-4.4805e-05i,0.00032206-0.00035787i,-0.00026918+9.6278e-05i,-0.00055419+0.0003552i,-0.00065158-0.00020148i,-0.00060918-0.0002662i
6.7578e-05+9.7353e-05i,0.00040348+0.00072727i,0.00036118+0.00090697i,0.00070202+0.00048091i,0.00015837-0.00022844i,-9.6521e-05-0.00096297i,-4.1395e-05-0.00027865i,-2.5904e-05+0.00056854i,0.00031647+0.00047985i,0.00023648+0.0003793i,-0.00059797+0.00049772i,-0.00099078+0.00058923i,-0.00034235+0.00073039i,0.0001308+0.00042284i,0.00038472-0.00025728i,0.0001972-0.00029718i,0.00010861-0.00071279i,0.00032056-0.00083071i,3.7877e-05-0.00076986i,-0.00016013-0.00027948i,0.00028235+0.00061909i,0.00081488+0.00087503i,0.00049635+0.00047638i
-0.0014501+0.0028611i,-0.0008116+0.0020169i,-0.0003574+0.0014808i,0.0005217+0.0010193i,0.0012643+0.00030988i,0.00076647-0.00021659i,-0.00033606+5.0753e-05i,-0.00065121+0.00039732i,-0.00038621+0.00057719i,-4.3193e-05+0.00049965i,0.00047774-0.00012433i,0.00089599-0.00078725i,0.0004157-0.00045166i,0.00012133-0.00010255i,0.00041139-0.0001523i,0.00051632-0.00069359i,0.00056945-0.00030559i,-0.00028975+0.0005452i,-0.00060232+0.00034332i,-0.0001816+0.0004992i,0.00028143+0.0005492i,0.00080994+0.00046083i,0.00055553+0.00050023i
-0.00089045-0.0010645i,-0.00056759-0.00044158i,0.00067754+0.0012413i,0.0010203+0.0020115i,0.0010874+0.0014275i,0.0010431+0.0010953i,0.00029183+0.0014801i,-0.00068225+0.0018017i,-0.00099737+0.0014149i,8.767e-05+0.00096136i,0.00041361-9.4767e-05i,-0.00032448-0.0010636i,-8.4063e-05-0.00066371i,0.00046134-0.00018116i,0.00046824-9.5358e-05i,0.00057307-4.5023e-05i,0.00036273+0.0002532i,0.00071808+0.00010786i,0.0013614-8.4005e-05i,0.0011047+0.00056454i,0.00039289+0.00056834i,-2.1431e-05+0.00042811i,-9.8567e-05-0.00021999i
0.00012877-0.0013689i,0.0006122-0.0005947i,0.00038947-0.00022901i,1.007e-05-4.7251e-05i,0.00033157+0.00010941i,2.0665e-06-0.00055486i,-0.00021402+2.2671e-05i,0.00048114+0.0012356i,0.0005162+0.0008622i,-0.00044554-0.00031049i,-0.00075532-3.215e-05i,-0.00060965+5.1933e-05i,-0.00074713-0.00013406i,-0.0006561+0.0001033i,-0.00032172+4.1319e-05i,-0.00014901-5.8203e-05i,0.00023583-0.00041382i,0.00058656-0.00018632i,0.00040583+0.00031682i,0.00018475+0.00037618i,0.00024946+0.00075002i,3.1619e-05+0.0015687i,-9.9478e-05+0.00083215i
0.0012841+0.00087947i,0.00039433+0.0014821i,-2.3363e-05+0.00049257i,-0.00010679-0.00011051i,-0.00058117+0.00036793i,-0.00036457+0.00092157i,-0.00038622+0.00092385i,-0.0007985+0.00032394i,-0.00061334-5.7978e-05i,-0.00036652-0.00010787i,0.00040665-0.00045744i,0.00078246-0.0001964i,0.00036581+0.00068503i,-0.00017133+0.00078582i,-0.00083432-0.00016093i,-0.00073845-0.00070985i,-0.00029076-0.00021778i,-9.2633e-05-7.975e-05i,0.00040651+5.0169e-05i,0.00085219+0.00053751i,0.00029385+0.00014926i,-0.00019286-0.00037791i,0.00014949-7.4928e-05i
0.00054412+0.0012284i,-0.00019541+0.0011101i,0.00080916-6.6979e-05i,0.0011111-0.0014325i,-0.00070607-0.0018659i,-0.0022252-0.0011325i,-0.001678+0.00030008i,-0.00077312+0.0010329i,0.00028403+0.00017446i,0.00047737-0.0014093i,-0.00018733-0.0023448i,-0.00082119-0.001397i,-0.0011146-0.0011301i,-0.00079741-0.0015541i,-0.00062857-0.0009813i,-2.7608e-05-0.00084343i,0.00045328-0.00060619i,0.0003391-0.00011516i,0.00049668+0.0002258i,-0.0001279+0.00084461i,-0.00013563+0.00088397i,0.00050122+0.00077623i,0.00055041+0.00088589i
-4.363e-06-2.4971e-05i,-0.00050195-0.00023654i,-1.1875e-05-0.00071568i,0.0003857-0.00076914i,-0.0002452-0.0001031i,-0.00056283+0.00018863i,-0.00045099+0.00057919i,-0.00023993+0.00045787i,-8.113e-05+0.00042127i,-0.00094674+0.00081649i,-0.0013008+0.00047275i,-0.00078681+0.00070089i,-0.00065001+0.0014794i,-0.00020365+0.0008775i,2.3596e-05-0.0003528i,6.2183e-06-9.8469e-05i,0.00070534+0.00032284i,0.00047697+0.00032623i,-0.00029356+0.00059864i,0.00022634+0.00049117i,0.00035131-6.7746e-05i,-0.00010001-0.00053537i,-0.00055276+0.00026281i
-0.00052145+0.00041704i,0.00013563+0.00082266i,0.00087689+0.0020113i,0.0017619+0.002165i,0.0022324+0.00078212i,0.0022139-6.7129e-05i,0.001073-0.00037834i,-0.00057634-0.00030867i,-0.00083599+0.00046032i,-0.00084983+0.00031497i,-6.1243e-05-0.0002633i,0.0012809-0.00037723i,0.0012342-9.9604e-05i,0.00036565-5.0288e-06i,-0.00044547-0.00017449i,-0.0005965-0.00094712i,-0.00038022-0.00050697i,0.00040136+0.00076393i,0.00068557+0.0011228i,0.00012811+0.0005881i,0.00027117+1.7671e-05i,0.00077265-0.00024051i,0.00012713-2.7837e-05i
-0.0012754+0.0011244i,-0.00078433+0.0020746i,0.0002399+0.0026009i,0.00055163+0.0018053i,0.00093619+0.0012324i,0.00065724+0.00090638i,0.00012768+0.00075524i,-0.00014701+0.0003584i,-0.00032951-0.00062412i,-5.7832e-05-0.00090722i,0.00026128-0.00074173i,0.00033548-0.00087068i,0.00025458-0.00068357i,-5.7276e-05-0.00037615i,0.00044279+0.00034665i,0.0009402+0.00024196i,1.8716e-05-0.00044682i,-0.00041454+7.883e-05i,0.00017468+0.00064094i,0.0007094+0.00091994i,0.00046555+0.00078505i,-0.00034407+0.00053337i,-0.00023182+0.00083804i
0.00096237+0.0011928i,0.0014278+0.0019925i,0.001511+0.0018291i,0.0024928+0.00052733i,0.0027639-0.0019759i,0.0012461-0.002272i,0.00030094-0.00021911i,0.00044042+0.00027147i,0.00057686-0.00045287i,0.0012119-0.00026201i,0.001061-0.00046136i,0.00061931-0.0005335i,-0.00010298+0.00027273i,-0.0005641+0.00038862i,0.00017572+0.00031467i,0.0011445+0.00011211i,0.001064+0.00065825i,0.00012158+0.0015051i,-7.5207e-05+0.0012399i,-0.00036211+0.00042381i,-0.0014084-0.00029078i,-0.001156-0.00055862i,0.00036337-0.00064479i
-0.00044369-7.0213e-05i,-0.00094298+0.00052867i,-0.00098796+0.00060752i,-0.0010824+0.0015704i,-0.00078375+0.0015542i,-0.00039942+8.6303e-05i,-0.00028173-0.00019725i,2.7175e-05+9.9002e-05i,0.00041085-0.00019445i,0.0004879-0.00049003i,0.00054144-0.00013637i,0.00089601+7.3089e-05i,0.00024498+0.00040138i,-0.0005921+0.00064165i,0.00021901+0.00053888i,0.0008967+0.00036041i,0.00012815+1.428e-06i,-0.00069298+7.6901e-05i,-0.00034047+0.00044221i,1.6573e-05+0.00022745i,0.00053412-0.00037499i,0.00055557-0.00063159i,2.0431e-05-0.0011922i
-0.00028401-0.0014698i,-0.00055889-0.0017363i,0.00047614-0.00021566i,0.00071025+0.00088217i,0.00081181+0.00044074i,0.00078777+0.00010754i,0.00031721+0.00038523i,-0.0005302+0.00080933i,-0.00073157+0.00081349i,-0.00040498+0.00062072i,0.00011351+0.00066942i,0.0003167+0.00038575i,-0.00013685-0.00036624i,6.9697e-06-0.0002153i,0.00035613+0.00050835i,0.00048513+0.00019404i,0.00044021+0.00024028i,0.00013451+0.00016218i,8.6169e-05+2.2494e-05i,-0.00037878+0.00019617i,-0.00097603-1.1937e-06i,-0.00087736-0.0002254i,-0.00034629-0.00023404i
-0.00065807+0.000353i,-0.00045237+0.0020512i,-0.0005754+0.0028063i,-9.374e-05+0.0016573i,0.00091339+0.00038971i,0.0006315+0.00012451i,0.00027197-0.00040854i,-0.00025898-0.00011318i,-0.00028802-0.00020829i,0.00088514-0.00064487i,0.00090932+2.936e-05i,0.00033122+0.00036516i,-6.3632e-05+0.00033311i,-0.00024559+0.00026307i,-0.00012243+0.00049775i,-0.00022359+0.00076212i,-0.00038715+0.00045456i,-0.00082972-2.5557e-05i,-0.00067471-0.00015281i,-0.00060044-0.00065063i,-0.00075791-0.0009744i,-0.00078093-0.00047507i,-0.00028756-0.00075239i
-0.00010886+0.0018816i,-0.00011625+0.0019564i,0.00081784+0.0017066i,0.0014423+0.00070997i,0.001405-0.00021539i,0.00094039+0.00025197i,0.0004436+0.000458i,-0.000335+0.00048619i,-0.00040188+0.00047238i,0.00022404-0.0002025i,0.00032895-0.00042132i,-0.00050246-0.00013684i,-0.00045007-0.00031333i,0.00022901-0.00033006i,5.5902e-05-0.00025863i,7.2029e-05-0.00054351i,-0.00010151-7.792e-05i,-0.00093512+0.00011595i,-0.00059409+0.00028467i,0.00016523-0.00025806i,0.00033583-0.00040316i,0.00044926-2.5032e-07i,0.00033427-0.00064805i
-0.00086281+0.0017323i,-0.00070778+0.0022553i,0.00093227+0.0026824i,0.0015697+0.0022567i,0.00093454+0.0010116i,0.000258+0.00061244i,3.526e-05+0.00094698i,0.00063787+0.00094979i,0.00038624+0.00032212i,-4.6454e-05-0.00083593i,-0.00040575-0.00074433i,-0.00083252-0.00046594i,9.8365e-06-0.00083325i,0.00071132-0.0005778i,0.00050595-0.00029285i,0.00041445-0.0010289i,0.00027266-0.001585i,-0.00014401-0.0012427i,-0.00041935-0.00084664i,-0.0003424-0.00072701i,-0.00014958-0.00038657i,-9.2309e-06-2.741e-05i,-0.00055467+0.00069746i
-0.0011464+0.00058498i,-0.00079027+0.0011391i,-0.00069133+0.0019856i,0.0004261+0.0018157i,0.0014149+0.0018497i,0.00053734+0.0020733i,-0.00010586+0.0014097i,-3.1818e-05+0.001303i,0.00047055+0.00085972i,0.00041174-0.00022694i,0.0004404-0.00044681i,0.00082946-6.098e-05i,0.00022458-0.0001079i,-0.00055562+0.00010893i,-0.00056861+0.00033305i,-5.9454e-05+1.841e-05i,0.00041337+0.00035584i,8.2176e-06+0.00079718i,-0.00040027+0.00074451i,-9.8742e-05+9.6009e-05i,0.00047704-0.0002224i,0.00069172+0.00036498i,0.00068816+0.00076415i
-0.00099719+0.0009126i,-0.00041198+0.0010174i,0.00083952+0.0013867i,0.00069994+0.00087106i,0.0010883-0.00032809i,0.00081569-9.2541e-05i,-0.00053461+0.0010615i,-0.00073966+0.0012958i,-0.00062331+0.00061917i,-0.00093281+0.00056658i,-0.00061197+0.00038924i,-0.0008437+0.00042484i,-0.0012008-0.00017786i,-0.00040292-0.00082528i,0.00040212-0.000526i,0.00073256+5.1874e-05i,0.00074947+0.00072557i,0.00010212+0.00048127i,0.00015484+0.00026149i,0.00049972+0.00019218i,0.0001218+0.00076126i,-0.00030861+0.00077911i,0.00019809-9.7289e-05i
0.0014-0.00039772i,0.00035205+0.00032608i,0.001187+0.001169i,0.0013752+0.0010548i,0.0010083+0.00053903i,0.00056427+0.00079221i,-0.00053688+0.00086049i,-0.00088954+0.00064122i,-0.00026559+0.00069878i,0.00027261+0.00038167i,-0.00023117+2.315e-05i,-0.00095258+0.00021118i,-0.00070461+0.00016932i,-0.00030713+0.00029001i,-2.4677e-05+0.00017025i,-3.511e-05-9.5366e-05i,-0.00031372+2.9754e-05i,-0.0010407-0.00062819i,-0.00099928-0.00085281i,-0.00044801+0.00031015i,-0.00039239+0.00068649i,-0.00019309+0.00055079i,-6.7797e-05+0.00076834i
0.00071526+0.00059165i,0.00080525+7.3972e-05i,0.0014343-0.00061617i,0.00085723-0.00084027i,-1.7897e-05-0.00086625i,-0.00010589+0.00026885i,0.00013928+0.0018321i,0.00013791+0.0014585i,4.4121e-05+0.00052496i,0.00015353-0.00033554i,-0.00019281-0.00097675i,-0.00038175-0.00086339i,6.8903e-05-0.00018092i,3.8483e-05+0.00024275i,-0.00056166-0.00015296i,-0.00038214-0.00062325i,-0.00019168+0.00025953i,-0.0003572+0.00071152i,-0.00023411+0.00043211i,7.6327e-05+0.00038497i,0.00027395+0.00049002i,-7.9833e-05-0.00040509i,1.7171e-05-0.0009056i
0.00059612-5.6867e-05i,0.00026508+0.00039566i,-0.00052356+0.00079607i,-0.00090103+0.0014408i,-0.00037876+0.0014051i,6.7981e-05+0.0011454i,0.0004497+0.00049332i,0.0011743+0.00016945i,0.00068106+0.00014711i,-0.00090605-0.0001262i,-0.0016429-0.00066861i,-0.0011305-0.00034953i,-0.00030826+0.00040277i,0.00021087+0.0010143i,-0.00069086+0.00090067i,-0.00089356+0.00037456i,4.3208e-05-4.2046e-05i,0.0001866-0.00048518i,-4.1313e-05-0.00031206i,-0.00022021+0.00029295i,-3.2921e-05+7.8935e-05i,0.00039097-0.00047513i,-9.5656e-05-0.0001626i
-0.001353+0.0016263i,-0.0013798+0.0011801i,-0.0011382+0.00025236i,-0.0013377-0.00053443i,-0.00096997-0.00046657i,-0.00023409+4.9846e-05i,-0.00042415+0.00079359i,-0.00075567+0.0012486i,-0.00056614+0.00097335i,-0.00063423+0.00036619i,-0.0010384+9.2669e-05i,-0.00055484-0.00019065i,-0.00021501+4.5635e-05i,-0.00053013+0.00063974i,-0.0005185+2.7908e-05i,0.00012387-0.0004226i,0.00078311+0.00031653i,0.0010941+0.00099196i,0.00088752+0.00060448i,0.00062668-9.089e-05i,0.00058825-7.2614e-05i,0.00026282+0.00026051i,-0.00019524+0.00017122i
-0.00021008+0.00047308i,0.00024226+0.00014547i,0.001588+0.00018392i,0.0025321-5.8632e-05i,0.0023855-0.00075851i,0.0014463-0.0012589i,0.00027808-8.8583e-05i,-0.00054037+0.001145i,-0.00032871+0.0010742i,-0.00030699+0.00015934i,-0.0004882-0.00080816i,-7.6396e-05-0.0010929i,0.00085157-0.00050441i,0.001312-0.00019291i,0.0013387+3.5663e-05i,0.00059157+0.00057103i,1.6851e-06+0.00021755i,0.00039548-0.0005168i,0.00061867-0.00063839i,0.00058253-0.00030134i,0.00032019+0.00034665i,-0.00036632+0.00055788i,2.4522e-05-0.00031598i
3.3339e-05+0.00039012i,0.00013411+0.00094455i,-5.7713e-05+0.0015653i,0.00052078+0.00098839i,0.0010937+0.00093884i,0.00017082+0.0018049i,-0.00054408+0.0022749i,-0.00018474+0.0020443i,-0.00013016+0.00149i,-0.00079191+0.00083387i,-0.00074801-0.00033988i,-0.00030427-0.00061842i,2.4938e-05-0.00023128i,0.00062934+0.00043629i,0.0001349+0.00058738i,-0.00031056+0.00018126i,-0.00033274+0.0002513i,-0.00061335+0.00053915i,-0.00018723+0.00060183i,-0.00039399+0.00039332i,-0.00031684-4.4943e-05i,4.1868e-05-0.00056729i,-7.9212e-05-0.0010139i
7.8879e-05-0.00010418i,0.00057674-1.819e-06i,0.00037086-0.00062666i,0.00023775-3.3728e-05i,0.00026286+0.00086184i,-0.00012555+0.00087266i,-0.00011036+0.00045556i,0.00042356+0.00022962i,0.00025091-7.2703e-05i,-0.00055839+0.00086977i,-0.0011271+0.0011726i,-0.00083643+0.00046944i,-0.00060865+0.00032045i,-8.6706e-05+0.00020128i,0.00062609-0.00032901i,0.00037058+0.00014263i,-0.00023108+0.0010369i,-0.00034274+0.00034131i,-0.00025559-7.7396e-05i,-0.00057501-4.4038e-05i,4.8377e-05-0.00011332i,0.00061493-0.00023491i,0.00012316-0.0010623i
-0.0014315-0.0008144i,-0.0017627+0.0010281i,-0.0016638+0.0022513i,-0.00065761+0.0017674i,2.8789e-05+0.0009916i,-0.00024287+0.00107i,-0.00089484+0.00075798i,-0.00051114+0.00063205i,-0.00033976+0.00054091i,-5.7067e-05-8.1813e-05i,9.1198e-05-0.00012387i,0.00010234+0.00028206i,0.00038706+0.00037131i,-1.4469e-05+0.00050493i,-0.00078624+0.00043228i,-0.00079884+0.0002264i,-0.00031451+0.00021283i,-0.00013643+0.00013193i,-0.00032567+0.0002687i,9.0713e-05+0.00030476i,0.00014493-0.00020093i,-3.8242e-05-0.00097098i,0.00032257-0.00039691i
0.000457-0.00069388i,0.00018065-0.0018227i,0.00020685-0.0018412i,-0.00057278-0.00054094i,-0.0015407+0.00024848i,-0.001998-4.7164e-05i,-0.0012686-0.00045903i,0.00021022-0.00053947i,0.00041513-0.00033236i,-0.00035859-0.00030575i,1.3555e-05-0.00031707i,0.00023341-6.5926e-05i,0.00012007-7.0983e-05i,0.0002297-9.4706e-06i,-0.0002523-0.00013511i,-0.00044966-0.00033844i,-8.9813e-05-0.0004547i,-0.00028139-0.00049141i,-0.0001519-0.00030305i,0.00020899-0.00041191i,0.00046447-0.00076068i,0.00044535+1.4089e-05i,0.00054679+0.0013299i
0.0021456-0.0015427i,0.0015147-0.00077782i,0.0019713-0.00017112i,0.0014401-0.0002281i,0.00032776-0.0001092i,0.00015664-0.00067068i,0.00019343-0.00048697i,0.00034507+0.00059399i,-0.00044067+0.00051966i,-0.0012476-0.0003123i,-0.00022332-0.0002689i,0.00065089+3.9813e-05i,0.00037924+6.302e-05i,-0.00017391-1.2798e-05i,-0.00022585+0.00010459i,-0.00040308+0.0002228i,-0.00070221-0.00011204i,-5.5638e-05-0.00022568i,0.00044019-0.00051154i,-0.00015502-0.00068193i,-0.00081238-0.00059633i,-0.00029179+0.00011574i,0.00015496+0.00044806i
0.00074776+0.00049352i,0.00035789+0.0012658i,-0.00071687+0.0014368i,-0.00058274+0.00016181i,-2.9066e-05-0.0004642i,-0.00067367+0.00044023i,-0.0013378+0.0010857i,-0.00021567+0.00034423i,0.00084691-0.00063844i,3.8958e-05-0.00101i,-0.00033296-0.0010135i,4.4999e-05+0.0002758i,-0.00057641+0.0015836i,-0.00045352+0.00067773i,0.00042109-4.6125e-05i,0.00031063+0.000587i,4.2868e-05+0.00037405i,0.00065125+0.00050657i,0.00094028+0.00049345i,0.00033337+0.00027582i,0.00047899+6.1334e-05i,0.00076386+0.00044812i,0.00021419+0.00071642i
