-0.00021825+0.0011908i,-0.00044829+0.002127i,-0.0017713+0.0013479i,-0.0027996+1.6931e-05i,-0.0021338+0.0010918i,-0.0012977+0.0027891i,0.00011899+0.0017282i,0.001211+0.00060724i,0.0010084+0.00046706i,0.00059739-0.0002065i,0.00011433-0.00059014i,-0.00038336-0.00018194i,-0.00056501+0.00017169i,-0.00048235+0.00037524i,-0.00052838+0.00068222i,-0.00075324+0.0013029i,-0.00026802+0.0010675i,0.00022583+0.00048637i,0.00023591+0.00039392i,0.00020352+0.00024277i,-3.7286e-05-5.2325e-05i,-0.00054404-0.00039762i,-0.00064852-0.00038911i
0.0010288-0.0013641i,0.0011626-0.0011669i,0.00076018-0.00089249i,2.6307e-05-0.0005887i,-0.00019125-0.00084941i,0.00032903-0.0003199i,-4.9372e-05+0.00061547i,-0.00045665+0.00037777i,-0.00016434-0.00048427i,0.0003793-0.00049201i,0.00012157-9.9314e-06i,0.00016065+1.9616e-05i,0.0003352-9.9371e-05i,-0.00017301-0.00043445i,-0.00015545-0.00079018i,-0.00019509-0.0010657i,-0.00036934-0.0012129i,-7.9418e-05-0.0001973i,-3.9245e-05+0.00064005i,-0.00024828+0.00058322i,-0.00022048+0.00033262i,2.0842e-05-0.00023129i,0.00049191-0.00058704i
-0.0018028-6.7071e-05i,-0.0014237+8.5689e-05i,-0.0015002+0.00015205i,-0.0017748+0.0010853i,-0.00098768+0.0028419i,-0.00022146+0.0021945i,-0.0004507+0.00078925i,-0.00057412+0.00041416i,-0.00020082+0.00026839i,0.00018042+0.0002646i,0.00062288+4.8487e-05i,0.0010885-0.00058462i,0.00083466-0.00054645i,0.00047718+0.00034213i,-4.4785e-05+0.00062618i,-0.00064736+0.0001491i,-0.000903-0.00071128i,-0.00086276-0.00063007i,-0.00081356-0.00073455i,-0.0003351-0.00079659i,0.00059404-3.0532e-05i,0.00080764+0.00036166i,0.00056536+0.00051484i
0.0010683-9.3196e-05i,0.0020219-0.0015164i,0.0027866-0.001452i,0.0019166-0.00023457i,0.0015693-0.00022047i,0.0007572-0.00083766i,-0.0010898-0.00071494i,-0.0015635+0.00049461i,-0.00027047+0.0012577i,0.00052124+0.0011533i,0.00081511-0.00011732i,0.00056784-0.0012792i,0.00012697-0.001053i,-0.00011179-0.00042624i,-0.0004246-6.2912e-05i,-7.245e-05+6.1446e-05i,9.0961e-05+0.00061546i,-0.00040712+0.00022042i,0.00015609+0.00028071i,0.00018062+0.00091298i,-0.00053985+0.0015192i,-0.00041456+0.0011728i,0.00071647-0.000152i
-0.00060025-0.0014283i,-0.00098759-0.0010342i,-0.0012609-2.3634e-05i,-0.0013104+0.00098636i,-0.0010126+0.002067i,0.0002017+0.0020287i,0.00054939+0.00050085i,0.00033963-0.00077181i,0.00056401-0.00064491i,0.00079145-0.00026492i,0.00065949-0.00016406i,0.00029113-0.00016596i,-0.00010828-0.0005958i,0.0001633-0.0015428i,0.00084536-0.0013479i,0.00039459-0.00027841i,-0.00011124-0.00017289i,0.0003329-9.7845e-06i,0.00082476+0.00061167i,0.0001366+0.00051661i,-0.00030135-0.00065843i,-4.921e-05-0.0011441i,-0.00039117+0.00024215i
-4.7449e-05+0.00063076i,0.0017697+0.00060007i,0.0013953-0.00027309i,0.00038322+5.2894e-05i,0.00041606+0.00071814i,0.0007529+5.8784e-05i,0.00063166-0.00068731i,-3.4622e-05-0.0010047i,-0.00029162-0.00082815i,-0.00020695-0.00017331i,-2.3629e-05-0.0008704i,-9.5983e-05-0.0011281i,-0.00031612-0.00015158i,2.1853e-05+0.00012727i,0.0002118-0.0003813i,-0.00051921-0.00042744i,-0.00026185+0.00018004i,0.00064716+0.00041962i,0.00018887-1.7498e-05i,0.00012131-0.00038477i,0.00046188-0.00034192i,0.00010778-0.00012673i,7.568e-06+7.3576e-05i
0.00075977+0.001609i,0.0010388+0.0016742i,0.00098352+0.0016176i,0.0017454+0.0014315i,0.001504+0.0008039i,0.00048955-0.00017881i,1.8098e-06-0.00078985i,0.00026837-0.00061647i,0.00037581+4.8147e-05i,4.1863e-05-0.00035868i,0.00032121-0.00099139i,-7.6911e-05-6.4013e-05i,-0.0001147+0.00036579i,0.00037021+0.0003108i,0.00017393+0.00054534i,-0.00018788+0.00071434i,-0.00025957+0.00052088i,-0.00048475+0.00039176i,-0.00014311+0.00013801i,0.00021693+0.00010779i,-8.1064e-05+0.00014823i,0.00013024-0.00022137i,0.00034983-0.00089938i
-0.00071553+0.0012098i,-0.0014725+0.0005477i,-0.0005734+0.00016209i,0.0010949+0.0011152i,0.00095606+0.0013065i,-0.00074105+0.00063122i,-0.0010164+0.00046598i,-0.00050024+0.0010674i,-0.00025841+0.00077604i,0.00023384-4.0331e-05i,6.8114e-05-0.00033253i,3.253e-07+0.00016007i,-0.00033928+0.00044017i,-0.0006515+0.00068483i,-0.00051751+0.0010139i,-0.0006538+0.00075275i,-0.00015457+0.00037449i,0.00088234+0.00075312i,0.00076853+0.0015891i,0.00022291+0.00066463i,0.00041653-0.00058109i,0.00028494-7.1e-05i,-0.00029855+0.0003489i
0.00052139+0.00027724i,0.00097443-0.0010857i,8.7536e-05-0.00079762i,-0.00080585+0.00026935i,0.000202-0.00025855i,0.00084096-0.00067247i,-0.0005241-0.00043005i,-0.0015369-0.00037332i,-0.0010907-0.00047141i,-0.00053153-0.00032408i,-0.00015447-0.00014785i,-5.3096e-05-0.00038724i,4.0329e-05+3.1608e-05i,0.00068194+0.00064862i,0.00058605+0.00090809i,-0.00023369+0.0011808i,-0.00055418+0.00080917i,-0.00040278+7.8675e-05i,0.00024031-0.00010197i,4.2722e-05-0.00039858i,-0.00079199-6.4263e-05i,-0.00054655+0.00018257i,0.000147+7.4975e-05i
0.00044151-0.00074485i,-7.9734e-05-0.00017874i,-2.3648e-05+0.00061665i,0.00055624+0.0015766i,0.00058395+0.0016218i,0.0003965+0.00069797i,-0.00036143+0.00038387i,-0.00082358+6.4599e-05i,-0.00015625-3.4607e-05i,0.00029051+0.00022207i,0.00083004-1.6306e-05i,0.001247+0.00038958i,0.00020882+0.0006313i,-0.00055857+0.00037441i,-0.0003196-0.00052684i,-0.00018944-0.00061989i,-0.00012347-0.00045242i,0.00019269-0.00060558i,-0.00011401-2.733e-05i,-0.00034667+6.6354e-05i,0.0001604-0.00015608i,-0.00012458+0.00024915i,-0.00058847+0.00049956i
0.001843+0.00086928i,0.001442+0.00060267i,0.00077492-0.0010598i,-0.00014437-0.0020322i,-0.00065417-0.0012186i,-0.00062295-0.00060596i,-0.00051345-0.00035879i,-0.00046814-0.00043354i,-0.00037858-0.00031267i,0.00018924+0.00027479i,0.0008128-0.00023044i,0.00085678-0.00023112i,0.001307+0.00062038i,0.0010705+6.3443e-05i,0.00027888-0.00079768i,0.00030227-0.00065979i,2.8455e-05-0.00025519i,-0.00054089+0.00034532i,6.9185e-05+0.00024896i,0.00074001-0.00045073i,0.00068276-0.00096656i,1.9977e-05+0.00017795i,-0.00011142+0.00078808i
-0.00053396+0.00054139i,0.00011849+0.0011051i,-0.00019649+0.0020114i,-0.00022136+0.0025088i,-0.0001841+0.0024722i,7.1724e-06+0.0014617i,1.276e-05-9.534e-05i,-6.1252e-05-0.00042125i,0.00033492+0.00032188i,0.0003648+0.00034289i,0.00024605-0.00038475i,0.00045917+7.4902e-05i,0.00035503+0.00071415i,0.00052179+5.0906e-05i,0.00047664-0.00048376i,5.8197e-05-0.00069664i,-0.00019693-0.00053982i,-0.00042739-0.001081i,-3.0619e-05-0.00078018i,-0.00025157+0.00040768i,-0.00042349+0.0003629i,-0.00013589-0.00048009i,-0.00012046-0.00089844i
-0.0016472+0.00019309i,-0.0021098-0.0019537i,-0.0024863-0.0010798i,-0.00093914+0.00070588i,0.0010545+0.00089436i,0.00088685+0.001185i,-0.00065373+0.00092534i,-0.0009612+0.00053363i,0.00042589-5.4175e-06i,0.00039044+0.00023044i,-0.0002316+0.00087431i,0.00039094+0.00096274i,0.00080167+0.0010921i,0.00034172+0.00058793i,6.5958e-05+0.00014753i,0.00011451+0.00018438i,-0.00014387+0.00038839i,-0.00072661+0.00078644i,-0.00059371+0.0011162i,0.00035369+0.0006724i,0.00071441-0.0002306i,-8.8653e-05+2.5644e-05i,-0.0010926+0.00030682i
0.00015864-0.00055359i,8.0986e-05-0.0015229i,0.00043496-0.0013931i,0.00026737-0.0015997i,-0.00016617-0.0007639i,-1.6952e-05+0.00044595i,-0.00011622+0.00058055i,-0.00038805+9.0435e-05i,-5.4892e-05-0.00013569i,2.6049e-05-0.00076386i,-0.00022718-0.0015661i,-0.0004724-0.0009735i,-0.0010642-0.00033073i,-0.00089356-0.00067121i,-0.00072256-0.00032396i,-0.00059102-5.9637e-05i,0.00050461+0.00014442i,0.001411+0.00073785i,0.0010332+0.00087779i,-0.00034396+9.3317e-05i,-0.0011622-0.00036274i,-0.00089382+2.5519e-05i,-0.00043755+0.00058586i
0.0020728-0.001587i,0.00074647-0.0021661i,0.0001262-0.0013761i,5.8341e-05+0.00064227i,-0.00041797+0.0009872i,5.2342e-05-0.00051483i,0.00012865-0.00066089i,-9.2642e-05+0.00019931i,0.00065924+8.9315e-05i,0.00092559-0.00019972i,0.00025698-0.00090616i,-4.6092e-05-0.00099085i,-0.00023896-0.00048906i,0.00013382+0.0005265i,0.00026075+0.00095567i,-0.00057784+0.00049062i,-0.00055482+0.00018922i,-3.6791e-05+5.4728e-06i,0.00028988+0.00018786i,0.000665+0.00032469i,0.0010444+0.00031718i,0.00059275+0.00054489i,-0.00013483+0.00050972i
0.0007985+0.0006655i,8.7132e-05-0.00069421i,-0.00083674+0.00050978i,-0.00024451+0.0010282i,0.0012627+0.0010859i,0.00029512-8.2079e-05i,-0.0009312-0.0012821i,-0.00050077-0.00085169i,9.601e-05-0.00014941i,0.00036608+0.00016869i,-0.00013122+0.00015954i,-0.0011917+0.00021029i,-0.00084497+0.00077252i,3.9205e-05+0.00089307i,0.00015871-0.00017009i,-4.6036e-05-0.0005807i,-9.5369e-05+0.00035938i,0.00023381+0.0007531i,-0.00055121+0.00055236i,-0.00077866+0.00055075i,-6.7492e-05+0.00059849i,-5.2948e-05+0.00083397i,-0.00026719+0.00058937i
0.00075408+0.0012358i,0.00082836+0.0016157i,0.00051575+0.0004307i,-3.0586e-05+0.00045554i,-8.8137e-05+0.00082599i,0.00055252+0.0005697i,0.00059016+0.00046298i,0.00079802+0.00022469i,0.0010106-0.00024142i,0.0001361-8.2944e-05i,-0.0010084+0.00010634i,-0.0014779-0.00028465i,-0.0014696-0.00038915i,-0.00088023-4.125e-06i,-0.00030681+0.00034743i,6.1924e-05-0.0004227i,0.00014244-0.0011932i,0.00052189-0.0013736i,0.001004-0.0012633i,0.0010403-0.00093622i,0.00076069-0.00040518i,0.00056423+0.00021091i,3.8445e-05+0.00037767i
-0.0032467+0.0010604i,-0.0016808+0.00035072i,-0.00064679+0.0012932i,-0.00038863+0.0015549i,0.00066695+0.0011217i,0.0012433+0.0010981i,-9.3733e-05+0.0011351i,-0.00048627+0.00070267i,-0.00025934+0.00040243i,-0.0004393+0.00029333i,-0.00015189+0.00033561i,-0.00087207+0.0013163i,-0.0010574+0.0014496i,-0.00072204+0.00036299i,-0.0011135+0.00030632i,-0.00082319+0.0009279i,3.1142e-05+0.0011126i,0.0005137+0.0012571i,0.00044044+0.00090106i,-0.00017689+0.00074024i,-0.00053889+0.00087265i,0.00016556+6.6492e-05i,0.00074343+0.00024834i
-0.00039823+0.0014364i,0.00065045+0.00081013i,0.00028355+0.00039775i,0.00014974+0.00010538i,0.00060129-0.00049906i,0.00078201-0.00080191i,0.00016089-0.00047758i,-0.00039626-0.00045739i,-0.00066395-0.0007076i,-0.00018758-0.0010805i,9.4022e-05-0.00051186i,-8.4022e-05+2.9534e-05i,9.8696e-05-0.00041723i,3.1529e-05-0.00060373i,-0.00024284-0.00066528i,-0.00081223-0.00053924i,-0.001659+0.0002305i,-0.0010676+0.00057868i,2.5548e-05-0.00021599i,0.00045612-0.0014496i,0.00070692-0.0020246i,0.00029266-0.0010809i,-6.0613e-06+0.00035652i
0.0010149+0.00090967i,-0.00028914+0.00018609i,0.00016133-0.00070602i,0.0013668-0.00014621i,0.0014405+0.00066845i,0.0013738-7.966e-05i,0.000504-0.00075555i,-0.00048418-0.0010021i,-0.00028729-0.00053927i,4.52e-05-0.00098797i,9.8778e-05-0.0013516i,0.00022957-0.00070926i,0.00063852-0.00026265i,0.00078775+0.0002999i,-0.00036437+0.00041134i,-0.0011001-0.00019267i,-0.0008405-0.00069792i,-0.00046913-0.00059559i,-0.0011144+2.475e-05i,-0.0014236-1.3248e-05i,-0.00047495-0.00018296i,0.00015824-0.00023007i,0.00012784+0.00028952i
-0.00015903+0.0011424i,0.0010351+0.00068799i,0.00065076+0.0018978i,0.0015125+0.0019771i,0.0030879+0.00098638i,0.0021114+1.3559e-06i,0.00023342-0.00078771i,-0.001068-0.0008464i,-0.00057854+5.4664e-08i,0.0001315-2.5049e-05i,-0.00020069-0.00089432i,-0.00063133-0.00040704i,-0.00064037-7.9223e-05i,-0.0006797-0.00057576i,0.00016633+0.00027926i,0.00082461+0.00083877i,0.00023076+0.00026573i,-0.00057625+0.00013649i,-0.00057739-2.6328e-05i,0.00011702-0.00018493i,0.00036194+0.00042261i,2.8792e-05+0.00011982i,-0.00026074-0.00023301i
-0.00080666-0.000426i,-0.00088806-0.00024954i,-0.0015828+0.00050583i,-0.0020041+0.0010365i,-0.0014627+0.00099179i,-0.0010703+0.0014912i,-0.00064477+0.0011277i,-0.00030271+0.00067081i,-0.00010186+0.000521i,-0.00056359+0.00026618i,-0.00089141+0.00031604i,-0.00074928+0.0007245i,-0.00030269+0.0011338i,0.00011248+0.00069289i,9.2125e-05+0.00032732i,2.6616e-05+0.00055536i,-0.00028094+0.00092019i,-0.00014378+0.00080003i,0.00040498+0.00047487i,0.00012682+0.00067512i,-0.0005982+0.00031612i,-0.00032011-0.00022892i,-0.00027021-4.1344e-05i
5.8602e-05-0.0023492i,-0.00043169-0.0012787i,-0.0014646-0.0013035i,-0.0020517-0.00082511i,-0.0021252+0.0013822i,-0.0012848+0.0019833i,0.00019705+0.0010188i,0.00051192+0.00042403i,0.00050298-0.00037228i,-3.2707e-05-0.00079006i,-0.00096401-0.00013012i,-0.00096713-6.1063e-05i,-0.00041819-0.00043195i,0.00059962+1.5238e-05i,0.0012361+0.0001266i,0.00072039-0.00044467i,0.00027902-4.0809e-05i,-0.00046081+0.00063868i,-0.00078691+0.00075731i,-0.00069624+0.00030373i,-0.00015835+0.00026444i,0.00028171-0.00022074i,-0.00013919-0.00054662i
-0.00038554+0.0013233i,0.00094514+0.0010089i,0.0011726+0.00097977i,0.00084144+0.0016759i,0.00094369+0.0020231i,0.0011264+0.001799i,-0.00034229+0.001127i,-0.00079103+0.00096407i,0.00017144+0.0007447i,4.0879e-05-0.00017252i,-0.00027359-0.00017178i,-0.00036575-4.1586e-05i,-0.00018226-0.00061421i,0.0002231-0.00091385i,-0.00010478-0.00065279i,-0.00040239-0.00037118i,-0.00015468+0.00034813i,-0.00020158+0.00086177i,-0.00022721+0.00048759i,-0.00043106+0.00042052i,-0.00074252+0.0010518i,-0.00012985+0.00068336i,0.00031018+0.00039423i
0.0021177+0.0011855i,0.0022248-0.0015869i,0.0011829-0.0019082i,-0.00020077-0.0013475i,-4.968e-05-0.0019147i,-0.0001112-0.0021188i,-0.00017153-0.0014803i,-9.6479e-05-0.00065685i,-0.00037093+8.7901e-05i,-0.00090319-0.00045452i,-0.00080722-0.00093215i,-0.00073398-0.00049973i,-0.00013798+0.00030446i,4.1891e-05+0.00066396i,-0.00015199+0.00067132i,-0.00015552+0.0010619i,-0.00049032+0.00055008i,-0.00072443+9.487e-05i,-0.00036022+9.9542e-05i,-0.00044697+0.00013559i,-0.00089385+0.00040215i,-0.00046822+0.00014035i,0.0004489-0.00022619i
0.0021927+0.0007048i,0.0019653-0.00092786i,0.00089967-0.0009364i,-0.00025724-0.00078561i,-0.0011886-0.00034428i,-0.0012199+0.00012632i,-0.0002012+0.00014881i,-2.865e-05+0.0012299i,-0.00075436+0.0014876i,0.00014012+8.7618e-05i,0.00067483-0.00061311i,3.3893e-05-0.00039177i,0.00025228-0.00021419i,0.00066054+0.00035222i,0.00046139-0.00038393i,-1.0313e-05-0.0012839i,-0.00010225-0.00045602i,0.0001581+0.00016864i,0.00046053+0.00012843i,0.00063087+4.9271e-05i,0.00036273-0.00043132i,8.6202e-05-0.00025123i,-3.049e-05+0.00027562i
0.0006266+0.00021255i,0.00072221+0.0010044i,-0.00049335+0.00067774i,-0.00039114+0.00032125i,-0.00032351+0.0012193i,-0.00019832+0.0012828i,-7.4556e-05+0.00053962i,-0.00049322+0.00041793i,-0.00056818+0.00032211i,-0.00077341+0.00016414i,-0.00088084-0.00014778i,-0.00085789-0.00033873i,-0.00038633-0.00038712i,0.00033886-5.9601e-05i,0.00050601-1.7188e-05i,0.00034352+1.4116e-05i,-0.00010006+0.00046803i,-0.0007538+0.00082502i,-0.00068541+0.00073546i,-0.00054982+0.00034755i,-0.00064198-7.4525e-05i,-0.00031198+0.00029372i,0.00047841-6.2376e-05i
0.00028066+0.0019161i,-7.1012e-06+0.00077476i,0.0008683-0.00035552i,0.0012302-0.00031774i,0.00087665+1.3247e-05i,0.00066593-0.00017587i,3.1882e-05+0.00018603i,-0.00072841+0.00036718i,-0.00061659+0.00046871i,-0.00026485+0.0010068i,-0.00014812+0.0011353i,-0.00063208+0.00045672i,-0.0011252-3.2234e-05i,-0.00067606-0.00015648i,5.7077e-05+8.7371e-05i,-0.00011438+0.00047316i,-0.00056337+0.00047394i,-0.00053244+9.4461e-05i,-0.00024313-0.00085741i,0.00023488-0.00077432i,0.00040302+4.6565e-05i,0.00013271-8.3252e-05i,-0.00028477-0.00017281i
-6.9045e-05-0.001476i,-0.00049715-0.00063648i,-0.00094529+0.0010165i,-0.00077077+0.0012065i,-0.00076127+0.00024623i,-0.00039572+0.00042073i,-0.00091293+0.00043664i,-0.0011582-0.00015685i,-0.00048884-0.00021456i,-0.00077886+4.4097e-05i,-0.0014872+0.00011161i,-0.00074003+6.9833e-05i,0.00053698-6.6361e-05i,0.0010438-0.00040645i,0.00079162-0.00074715i,0.00038039-0.00067794i,0.001115-3.58e-05i,0.0006019+0.00032361i,-0.00068866-0.00011241i,-0.00070309-0.00060697i,-5.0332e-05-0.00035244i,0.00066266-0.00040625i,0.0011891-0.00073541i
-0.00019236-0.0014911i,0.00016423-0.0014674i,-0.00055094-0.00026997i,-0.0015743+0.00054102i,-0.001438+0.0012423i,-0.0005806+0.00059492i,-0.00049774-0.00062209i,-0.00096436-0.00055461i,-0.0012223+0.00068562i,-0.00065149+0.0007484i,0.00012883+4.1443e-07i,0.00067211-8.4705e-05i,0.0007331+0.00091475i,0.00062179+0.00097628i,0.00038606+6.6581e-05i,-0.00017085-0.00049137i,0.00019133-0.00022245i,0.0010399-4.5337e-05i,0.0016519-0.00023324i,0.0008983+4.9476e-06i,-0.00012841+0.00038928i,-0.00073009-0.00037601i,-0.0006718-0.0012779i
